BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE,TICKER
TQBR,2021-11-05,1271.4,371313,460667579.6,CIAN
TQBR,2021-11-08,1228.6,323096,410205745.6,CIAN
TQBR,2021-11-09,1107.0,306534,356549049.2,CIAN
TQBR,2021-11-10,1134.8,186898,210777292.4,CIAN
TQBR,2021-11-11,1090.0,249706,283830338.8,CIAN
TQBR,2021-11-12,1106.0,121654,136939421.6,CIAN
TQBR,2021-11-15,1096.2,81049,90442848.4,CIAN
TQBR,2021-11-16,1102.6,26044,28922835.0,CIAN
TQBR,2021-11-17,1106.2,39967,44286919.6,CIAN
TQBR,2021-11-18,1098.2,36040,39835123.8,CIAN
TQBR,2021-11-19,1095.2,39566,43005679.0,CIAN
TQBR,2021-11-22,1095.6,65774,70655193.4,CIAN
TQBR,2021-11-23,1115.8,42071,46270788.2,CIAN
TQBR,2021-11-24,1125.8,78440,89561791.6,CIAN
TQBR,2021-11-25,1103.0,10800,12139641.2,CIAN
TQBR,2021-11-26,1114.0,32689,36179307.6,CIAN
TQBR,2021-11-29,1124.0,50290,57650083.2,CIAN
TQBR,2021-11-30,1183.4,49974,57056688.6,CIAN
TQBR,2021-12-01,1196.8,204196,241672428.6,CIAN
TQBR,2021-12-02,1210.0,54837,65109340.8,CIAN
TQBR,2021-12-03,1180.6,22293,26364568.4,CIAN
TQBR,2021-12-06,1107.2,73035,81495872.4,CIAN
TQBR,2021-12-07,1086.4,22539,24696717.0,CIAN
TQBR,2021-12-08,1039.0,21922,23275136.4,CIAN
TQBR,2021-12-09,982.0,54209,55231923.2,CIAN
TQBR,2021-12-10,927.6,71339,67368015.0,CIAN
TQBR,2021-12-13,910.0,69579,64820251.8,CIAN
TQBR,2021-12-14,881.4,32577,29041229.2,CIAN
TQBR,2021-12-15,896.0,10963,9708201.6,CIAN
TQBR,2021-12-16,992.8,40508,38332411.6,CIAN
TQBR,2021-12-17,951.8,128536,128098105.6,CIAN
TQBR,2021-12-20,883.2,36112,32969514.0,CIAN
TQBR,2021-12-21,911.2,28736,26116023.0,CIAN
TQBR,2021-12-22,991.2,24187,23276297.4,CIAN
TQBR,2021-12-23,981.2,14277,14062862.2,CIAN
TQBR,2021-12-24,978.6,3707,3616408.6,CIAN
TQBR,2021-12-27,970.4,54662,52919389.4,CIAN
TQBR,2021-12-28,980.6,77091,74387057.2,CIAN
TQBR,2021-12-29,1000.6,26824,26417363.4,CIAN
TQBR,2021-12-30,1053.2,45742,47325328.6,CIAN
TQBR,2022-01-03,971.2,34300,34247606.4,CIAN
TQBR,2022-01-04,907.6,74940,68141664.8,CIAN
TQBR,2022-01-05,877.6,82012,73833333.4,CIAN
TQBR,2022-01-06,816.8,67348,56821109.2,CIAN
TQBR,2022-01-07,,0,0.0,CIAN
TQBR,2022-01-10,773.6,89035,71351963.0,CIAN
TQBR,2022-01-11,762.8,81490,63763484.2,CIAN
TQBR,2022-01-12,803.8,35063,27458134.8,CIAN
TQBR,2022-01-13,765.0,33817,26696524.8,CIAN
TQBR,2022-01-14,727.2,51274,37917091.6,CIAN
TQBR,2022-01-17,731.8,21886,16080466.8,CIAN
TQBR,2022-01-18,668.6,25622,17826440.2,CIAN
TQBR,2022-01-19,601.0,81598,51296504.0,CIAN
TQBR,2022-01-20,571.4,87988,52563796.4,CIAN
TQBR,2022-01-21,538.6,42459,23550616.2,CIAN
TQBR,2022-01-24,489.6,52492,26458095.6,CIAN
TQBR,2022-01-25,465.2,48616,23371870.4,CIAN
TQBR,2022-01-26,455.4,96209,46479691.4,CIAN
TQBR,2022-01-27,490.0,137330,64986091.6,CIAN
TQBR,2022-01-28,526.4,78473,40842696.4,CIAN
TQBR,2022-01-31,645.8,155447,94430560.4,CIAN
TQBR,2022-02-01,689.8,228893,162856731.8,CIAN
TQBR,2022-02-02,718.8,134170,94644623.6,CIAN
TQBR,2022-02-03,678.2,92531,63684820.0,CIAN
TQBR,2022-02-04,685.6,48447,32757524.6,CIAN
TQBR,2022-02-07,648.0,56987,37217781.8,CIAN
TQBR,2022-02-08,697.2,50385,33295897.0,CIAN
TQBR,2022-02-09,694.0,78698,54731172.0,CIAN
TQBR,2022-02-10,698.0,62370,42966638.4,CIAN
TQBR,2022-02-11,634.2,36928,24966940.4,CIAN
TQBR,2022-02-14,652.6,32989,21129110.2,CIAN
TQBR,2022-02-15,667.4,37530,24997336.2,CIAN
TQBR,2022-02-16,660.2,56660,38657167.2,CIAN
TQBR,2022-02-17,619.6,30226,19249488.2,CIAN
TQBR,2022-02-18,614.2,37107,22575114.4,CIAN
TQBR,2022-02-21,513.8,146621,78855664.8,CIAN
TQBR,2022-02-22,514.2,136325,66346101.4,CIAN
TQBR,2022-02-23,,0,0.0,CIAN
TQBR,2022-02-24,410.0,129299,45396893.6,CIAN
TQBR,2022-02-25,345.0,111780,41758062.6,CIAN
TQBR,2022-02-28,,0,0.0,CIAN
TQBR,2022-03-01,,0,0.0,CIAN
TQBR,2022-03-02,,0,0.0,CIAN
TQBR,2022-03-03,,0,0.0,CIAN
TQBR,2022-03-04,,0,0.0,CIAN
TQBR,2022-03-09,,0,0.0,CIAN
TQBR,2022-03-10,,0,0.0,CIAN
TQBR,2022-03-11,,0,0.0,CIAN
TQBR,2022-03-14,,0,0.0,CIAN
TQBR,2022-03-15,,0,0.0,CIAN
TQBR,2022-03-16,,0,0.0,CIAN
TQBR,2022-03-17,,0,0.0,CIAN
TQBR,2022-03-18,,0,0.0,CIAN
TQBR,2022-03-21,,0,0.0,CIAN
TQBR,2022-03-22,,0,0.0,CIAN
TQBR,2022-03-23,,0,0.0,CIAN
TQBR,2022-03-24,,0,0.0,CIAN
TQBR,2022-03-25,,0,0.0,CIAN
TQBR,2022-03-28,,0,0.0,CIAN
TQBR,2022-03-29,,0,0.0,CIAN
TQBR,2022-03-30,400.0,182982,78822777.4,CIAN
TQBR,2022-03-31,442.0,90986,39462569.0,CIAN
TQBR,2022-04-01,440.0,248124,118685605.4,CIAN
